,Correlation,SKU_product1,SKU_product2
361,0.9949563176476924,163,161
358,0.9949550634273086,161,163
552,0.9815958101507677,207,86
310,0.9815859425441222,86,207
286,0.9801742966516249,84,155
344,0.9801533097662952,155,84
492,0.9650466791266227,200,84
293,0.9650219566382999,84,200
495,0.9551345198339263,200,155
353,0.9550574974876469,155,200
407,0.9537243600197827,170,168
375,0.9536722145680382,168,170
479,0.9530627658168784,199,168
379,0.9530526129933903,168,199
486,0.9483550170875507,199,201
517,0.9482728034871141,201,199
412,0.9429736384284197,170,199
481,0.9429212365744938,199,170
381,0.9317151362355705,168,201
512,0.9316195601297012,201,168
518,0.930713202661813,201,200
502,0.9306678847753314,200,201
461,0.9296047219209329,180,183
464,0.9289355378370202,183,180
528,0.9275284317914907,203,86
309,0.9273431372315539,86,203
386,0.9272826408203909,169,84
288,0.9271173719996119,84,169
396,0.9266020472921368,169,200
497,0.9264811029671793,200,169
374,0.9252487846828557,168,169
389,0.9252195882164609,169,168
515,0.9244760242918829,201,177
441,0.9243319369459283,177,201
539,0.9181469687993109,203,207
563,0.9179542880257835,207,203
511,0.9147856861370192,201,155
354,0.9145857693011172,155,201
393,0.9123109357409065,169,178
450,0.9121033137523138,178,169
508,0.9067127841924814,201,84
294,0.9065867865579191,84,201
433,0.9065110995434811,177,155
350,0.9064632661494294,155,177
448,0.9059443382726075,178,155
351,0.9058468491035426,155,178
480,0.9023779455464572,199,169
395,0.9023188393856144,169,199
534,0.9023186685694886,203,177
442,0.9022510756433735,177,203
519,0.9012374843739372,201,203
538,0.9011110125120032,203,201
388,0.8997133436376638,169,155
414,0.8994945563300647,170,201
348,0.8993931149151718,155,169
514,0.8992458547495957,201,170
45,0.8985222135774361,22,28
101,0.8981398595327159,28,22
290,0.8980392132536122,84,177
431,0.8979761305490395,177,84
485,0.8955061396234172,199,200
501,0.8952735853251681,200,199
370,0.8872609804654608,168,84
287,0.8869603708434608,84,168
380,0.8867172294160007,168,200
496,0.8864872499761763,200,168
581,0.8854076925569809,224,225
500,0.883678904500996,200,178
455,0.88358629390892,178,200
583,0.8827278497583704,225,224
607,0.8801533994131125,232,200
505,0.8800766849214521,200,232
499,0.8780445301828117,200,177
440,0.8778837514354849,177,200
85,0.8768191437345187,26,168
366,0.8760980110006197,168,26
291,0.8729183181304947,84,178
446,0.8729074778823629,178,84
87,0.8702171441523308,26,170
400,0.8695433266116042,170,26
300,0.8675594177212553,86,82
273,0.8644213454422566,82,86
432,0.8590843745817541,177,86
305,0.858756083672995,86,177
397,0.858524376194895,169,201
513,0.858379250675618,201,169
373,0.852157897429396,168,155
347,0.8516221859147481,155,168
80,0.8515109318076215,26,66
245,0.8510550093507125,66,26
235,0.850917358950115,65,66
253,0.8507275722483332,66,65
242,0.8487398504797397,66,19
443,0.8487329742595232,177,207
558,0.8484495374102141,207,177
382,0.8482197933284978,168,203
18,0.8480195636403712,19,66
531,0.8478204078559521,203,168
476,0.8476634612387653,199,84
292,0.847222783223625,84,199
408,0.8470555895858947,170,169
30,0.8470488928560695,20,28
390,0.8468237420151122,169,170
550,0.8466578322062376,207,82
478,0.8462982714458975,199,155
99,0.846220886368583,28,20
352,0.8457130928945845,155,199
281,0.8435567823982134,82,207
89,0.8434024290896466,26,199
475,0.8424703633194767,199,26
526,0.8412536966511508,203,82
280,0.8381630141073111,82,203
7,0.8354509743725821,12,16
268,0.8333029616216949,72,74
185,0.8291126436052499,55,20
34,0.829076283924763,20,55
10,0.8271255198619979,16,12
608,0.82444324629723,232,201
521,0.8244122933932315,201,232
484,0.8223023853064387,199,178
454,0.8217721969764427,178,199
489,0.8088196832688448,199,232
606,0.8085751524591651,232,199
377,0.8074815744136831,168,177
434,0.8068525559278732,177,168
192,0.8060209494030843,55,35
119,0.8059348459320622,32,35
139,0.8058293548188474,35,55
136,0.8053286193177429,35,32
527,0.8004623810605013,203,84
295,0.8004476283387696,84,203
19,0.7977336207857431,19,82
271,0.7965522900119784,82,19
459,0.7956381007535376,180,86
306,0.7952976264772929,86,180
217,0.7951526598097504,61,42
157,0.7943974157306423,42,61
79,0.7935169717226731,26,65
227,0.7931670818300256,65,26
415,0.7920338234184292,170,203
605,0.7918591127962142,232,178
457,0.7915486603112714,178,232
533,0.7912662916864309,203,170
599,0.7909576448626395,232,155
516,0.7905651822401898,201,178
357,0.7904642624886155,155,232
456,0.7902634264785966,178,201
430,0.7873089789775777,177,82
530,0.7861246039899145,203,155
355,0.785868584806769,155,203
270,0.7852906705191658,74,72
326,0.7842413458048354,100,203
276,0.7841698990287658,82,177
529,0.7833604622864978,203,100
520,0.7813838367513067,201,207
562,0.7805867577125388,207,201
413,0.7791100613304721,170,200
487,0.7789145447385512,199,203
498,0.778419667137777,200,170
536,0.7782833157935212,203,199
463,0.7780933169510278,180,207
559,0.7778405924084723,207,180
105,0.7776741260434135,28,53
503,0.776938580535373,200,203
537,0.7767964989446363,203,200
5,0.7767736622892483,10,176
69,0.776030389791242,25,65
226,0.7756810696245995,65,25
420,0.7752311122675591,176,10
404,0.7744914112580172,170,84
289,0.7736421225527037,84,170
483,0.7730473410201633,199,177
439,0.7722573035302405,177,199
117,0.771760557619807,32,23
54,0.7695445904459587,23,32
70,0.7693384702522094,25,66
60,0.7690316371155261,25,19
244,0.7685808942364735,66,25
15,0.7672647045431635,19,25
62,0.7668226126549244,25,26
74,0.7667852200398514,26,25
86,0.7662315956976112,26,169
91,0.766127393384006,26,201
255,0.7656020150991073,66,100
320,0.7653875653252588,100,66
167,0.7649065625541174,53,28
385,0.7646764571933736,169,26
506,0.7644095223028837,201,26
141,0.7639657229066938,35,65
229,0.7639459971973329,65,35
598,0.7638043486348473,232,84
297,0.7634615330507113,84,232
509,0.7619127639644674,201,86
308,0.7609453215274904,86,201
541,0.7607966507847193,204,209
565,0.7607225093035612,209,204
378,0.7602339175800866,168,178
449,0.7595614638887964,178,168
406,0.7577601617416541,170,155
392,0.7566518040174028,169,177
349,0.7566193110685484,155,170
435,0.7559377339863297,177,169
175,0.755834833206968,54,28
65,0.7548963192434586,25,35
106,0.7544257106121907,28,54
133,0.7544105105252765,35,25
121,0.7526575806590639,32,55
191,0.7524768641361064,55,32
213,0.7517128180096486,58,62
221,0.7514630204868364,62,58
410,0.7481089266890717,170,177
436,0.747022769258546,177,170
575,0.746107370861125,216,213
572,0.7411551865027459,213,216
150,0.7403149319227201,38,50
399,0.7393170679351627,169,232
602,0.7391272811125702,232,169
28,0.7376496219428439,20,22
42,0.7361402769657416,22,20
162,0.7352933712851477,50,38
115,0.7347578320159147,31,39
151,0.7331671155491811,39,31
604,0.7320088304513857,232,177
444,0.7314650442319794,177,232
61,0.7310985828291434,25,23
156,0.7297591223824917,41,43
52,0.7286870298062634,23,25
72,0.7279099350939569,26,19
16,0.7259859933252107,19,26
535,0.7253269881614193,203,180
462,0.7249245234911657,180,203
159,0.7234994259376415,43,208
182,0.7222742716127901,54,66
212,0.7221981357920619,58,61
40,0.7220881382873976,21,227
585,0.7218504739223603,227,21
445,0.7217605993880633,178,34
251,0.7216670494560442,66,54
568,0.7213670630341236,211,204
283,0.721257198300509,84,82
130,0.7211972133788782,34,178
218,0.7208985904713702,61,58
542,0.7205106826486819,204,211
190,0.720009420803176,55,28
507,0.719918985311247,201,82
225,0.7194533401549754,65,19
120,0.719121233750152,32,54
564,0.7189715431635394,208,43
158,0.7189056861408465,43,41
566,0.7188494486672214,209,211
176,0.718753244622208,54,32
43,0.7186573741870033,22,21
107,0.7183545765187325,28,55
272,0.7180002167673112,82,84
570,0.7178641180768812,211,209
17,0.7177662747161341,19,65
327,0.7176491559049597,100,207
181,0.7170836278318868,54,65
231,0.7169598450368408,65,54
132,0.7167238901302448,35,23
279,0.7165243260132786,82,201
148,0.7159508170239308,38,36
553,0.7159397013727966,207,100
55,0.7148811276041593,23,35
523,0.714157960848594,203,19
24,0.7140863960087711,19,203
81,0.7138042203812642,26,67
261,0.7126105836874256,67,26
145,0.7120174539280131,36,38
207,0.710305488259363,57,58
579,0.7102770720800617,223,225
177,0.7101513063585541,54,35
138,0.7099326499040066,35,54
205,0.7097058318060867,57,55
195,0.7093258961989096,55,57
196,0.7092906654363795,55,65
211,0.7092577196504888,58,57
232,0.7089815513452737,65,55
369,0.7088387083906253,168,82
38,0.7084238708674344,21,22
567,0.7071976643867335,210,205
593,0.7058256816170789,229,216
315,0.7056374580862737,100,19
92,0.7056290465041288,26,203
275,0.7052927347855638,82,168
576,0.704957777125415,216,229
547,0.7048557309867263,206,211
376,0.7048484092003802,168,176
21,0.7046382744108806,19,100
36,0.7040462172590946,20,174
578,0.7039757853897395,223,224
452,0.7037141418825963,178,177
437,0.7035565632088221,177,178
524,0.7031697288884536,203,26
35,0.7027313346274898,20,67
582,0.7020475812633219,225,223
