,Correlation,SKU_product1,SKU_product2
417,0.7018725248546854,174,20
260,0.7016765297517902,67,20
411,0.7014822947074102,170,178
447,0.7014651249056075,178,125
580,0.7005961319499419,224,223
338,0.7003939126328922,125,178
451,0.7003263208028718,178,170
78,0.7002375897307822,26,55
189,0.7000742889729521,55,26
142,0.6998984309309313,35,66
249,0.6995725056198487,66,35
111,0.6993533975069822,30,33
83,0.6989751610283765,26,100
391,0.6985407725594277,169,176
90,0.6983779364528491,26,200
316,0.6974388769745479,100,26
134,0.6969962633304263,35,27
144,0.6967448737083186,35,228
490,0.6959635439140847,200,26
96,0.695455153179795,27,35
427,0.6949503825993557,176,168
198,0.6947493762665512,55,67
543,0.6947084505463584,205,210
311,0.6945523677832877,87,106
384,0.6943628419335506,168,232
601,0.6940299908514687,232,168
591,0.6939803335772158,228,35
284,0.6939423280269885,84,86
263,0.6938013894733032,67,55
332,0.6934780755686345,106,87
301,0.6930292095022654,86,84
44,0.692062290689873,22,23
458,0.691205351045565,180,82
491,0.6908345055731231,200,82
51,0.6903417931049808,23,22
194,0.6895460197147689,55,54
222,0.6895406722530293,62,61
179,0.689351005985088,54,55
428,0.6886930104833222,176,169
219,0.6884400067915956,61,62
594,0.688410371234986,229,230
31,0.6882324745144048,20,35
277,0.6881261729455359,82,180
257,0.6881217659988479,66,170
131,0.6878244573554659,35,20
571,0.6877985528463038,212,215
402,0.6876196031335415,170,66
278,0.6874369005574129,82,200
597,0.6864778145629347,230,229
149,0.6862062510282075,38,46
206,0.6859929254468651,57,56
126,0.6857027019149164,33,30
465,0.6856601900703934,187,196
569,0.6848070465295985,211,206
471,0.6847615471064654,196,187
345,0.6846107732803174,155,86
88,0.6842908438803481,26,176
303,0.6839988946046056,86,155
200,0.6837931371713217,56,57
256,0.6831474821580725,66,168
504,0.6831263984704289,200,207
368,0.6823535408922048,168,66
561,0.682128901601388,207,200
102,0.6813991521304115,28,23
160,0.6813617571136514,46,38
114,0.6813076936033002,31,33
236,0.6811941857960648,65,67
53,0.6809380576679465,23,28
264,0.6805116412443646,67,65
254,0.6804939279751845,66,67
577,0.6802489456432667,216,230
265,0.6801296507653353,67,66
49,0.67991842599557,22,174
27,0.6797837945071867,20,21
596,0.6796696131163336,230,216
453,0.6791618571614824,178,197
398,0.6790436770956396,169,203
418,0.6789258959491655,174,22
127,0.6788993516853661,33,31
532,0.6783099029329906,203,169
163,0.6768262178369508,52,105
296,0.6768001239620598,84,207
551,0.6759949726281242,207,84
422,0.6752373980910698,176,26
574,0.6728630824928319,215,212
202,0.6724974276773525,57,25
438,0.6724872753914917,177,180
68,0.6722767155371515,25,57
460,0.6722312727845958,180,177
321,0.6714160557584455,100,86
63,0.6712722628494474,25,27
365,0.6694038994775053,168,19
302,0.6692895470912998,86,100
37,0.6692716568425758,21,20
343,0.6691516199919594,155,82
223,0.6691147895015863,62,206
22,0.6686998473328332,19,168
356,0.6686214722690966,155,207
554,0.6681548391163604,207,155
210,0.6675079863806892,58,56
94,0.6670688940684502,27,25
473,0.6669483846606488,197,178
201,0.6660650198690388,56,58
274,0.66602394684364,82,155
100,0.6655238977299229,28,21
346,0.6654862934446277,155,125
230,0.6653189009060099,65,53
67,0.6650599980421509,25,55
188,0.6648968195051969,55,25
336,0.6645867528381374,125,155
546,0.664573310573144,206,62
82,0.6641974979862042,26,84
33,0.6635698232672533,20,54
588,0.6634566833946929,227,228
173,0.6634424057656565,54,20
592,0.6627421470398527,228,227
363,0.6618644422229576,166,167
204,0.6613710642222724,57,35
493,0.661355141540685,200,86
282,0.6613238751710574,84,26
129,0.6606429834290436,33,146
220,0.6605233867694489,61,206
140,0.6602492069409729,35,57
307,0.6601255181392991,86,200
180,0.6594441287312348,54,58
364,0.6593851467470561,167,166
545,0.6591902390550652,206,61
209,0.658799533199977,58,54
208,0.6576170648276052,57,65
340,0.6573840248571075,146,33
371,0.6569490417898591,168,86
233,0.6568417494104746,65,57
41,0.6563684319745198,21,228
325,0.6562485427361396,100,201
589,0.6554193468994757,228,21
510,0.6552406159566924,201,100
383,0.6552392128475303,168,207
98,0.655133809215608,27,176
304,0.6551127746473058,86,168
39,0.6542608096534074,21,28
267,0.6541539410214262,67,176
234,0.6539722036916809,65,58
557,0.6535261072175982,207,168
214,0.653476048641005,58,65
409,0.6533250034278051,170,176
423,0.6531994128976737,176,27
118,0.6525509970876786,32,25
64,0.652482028383975,25,32
178,0.6519618795769633,54,53
238,0.6516881602188035,65,168
224,0.6516181860864418,65,10
146,0.6508279928937709,36,50
470,0.650775491962883,192,188
329,0.6505593506286498,105,107
367,0.6503848810807098,168,65
266,0.649937252872667,67,170
403,0.6497767517107134,170,67
75,0.6490307528811734,26,27
161,0.6490220986576436,50,36
215,0.6487114352381286,58,206
359,0.6481780755408946,161,207
426,0.6475317632905511,176,67
555,0.6471117082325628,207,161
46,0.6470480569556237,22,53
193,0.6467252774184913,55,53
171,0.6463367426586903,53,65
14,0.6462791194619564,19,10
466,0.6456328147868153,188,192
544,0.6451775044245582,206,58
246,0.6448527241706502,66,27
32,0.6444287766305958,20,53
50,0.6439581351687547,22,227
429,0.6436653466159216,176,170
4,0.6427440506842881,10,65
97,0.6423671212824853,27,66
258,0.6422045399395437,66,176
20,0.6420040074832709,19,86
2,0.6419810688904949,10,19
95,0.6418914966481608,27,26
334,0.6417657612180642,107,105
199,0.6416809945519237,56,40
299,0.6412130138227848,86,19
312,0.6405749099812037,93,95
203,0.6405330922550141,57,32
122,0.6403770598441518,32,57
137,0.6394903893449914,35,53
362,0.6376925198235848,163,207
584,0.6373386046824749,226,227
425,0.6372849928816882,176,66
285,0.6372201732367184,84,125
587,0.6367476781550054,227,226
556,0.6365102784600163,207,163
335,0.6359687002804884,125,84
71,0.635017593542172,25,208
216,0.6342298801556396,61,40
322,0.6334793565119905,100,168
250,0.6331060131715995,66,53
416,0.6330251656647146,170,232
372,0.6329108486226176,168,100
331,0.6326210641641168,106,31
603,0.6322342391985483,232,170
116,0.6312189830416396,31,106
154,0.6311808229724554,40,61
323,0.6311593023875928,100,170
113,0.6310895953096654,31,30
405,0.6310001646785541,170,100
240,0.6302478350760059,65,176
184,0.6300625041693994,55,14
341,0.6298381651668186,151,5
0,0.6295448230779139,5,151
387,0.6293513559212818,169,125
586,0.6289256191048791,227,22
169,0.6287535018849119,53,54
174,0.6284550684331345,54,22
394,0.6283514248221829,169,197
3,0.6279154985614902,10,27
56,0.6278101814960495,23,53
93,0.6275529310122967,27,10
337,0.6274347054079421,125,169
298,0.6273386954819288,86,18
110,0.6271986562809009,30,31
239,0.6268049019676183,65,170
47,0.6264635946038444,22,54
11,0.62593676615374,18,86
186,0.6258231807789865,55,22
401,0.6256707189906926,170,65
237,0.6255832860582714,65,100
25,0.6254173715833707,19,207
124,0.6247938757805414,32,66
152,0.6247561129650014,39,33
549,0.6246604773897195,207,19
319,0.6245693989799714,100,65
424,0.6245305596312376,176,65
170,0.624138685171868,53,55
183,0.6239350542799671,54,100
135,0.6238837459672744,35,28
48,0.6236659010214183,22,55
248,0.6234728874315616,66,32
128,0.6232750981601748,33,39
153,0.6231997679665872,40,56
168,0.6230367571863166,53,35
166,0.6229548025628849,53,23
26,0.6227982998473067,20,14
318,0.6225014716535866,100,54
259,0.6224154518057489,66,203
104,0.622121793059716,28,35
23,0.6212569498351802,19,176
474,0.620893909596139,198,189
494,0.6208334215133164,200,125
9,0.6206834941263406,14,55
525,0.6206343861876511,203,66
143,0.619502946401254,35,67
339,0.619335454286341,125,200
262,0.6192815117902379,67,35
269,0.6189769055638632,72,191
421,0.6188148427111451,176,19
164,0.6186544108780214,53,20
6,0.6186059392514456,11,15
313,0.6185393793763203,96,97
468,0.6177103727956701,189,198
76,0.6175253335145832,26,28
243,0.6171627421529676,66,23
328,0.6169908228845853,105,52
333,0.6167474729597215,107,36
165,0.6164378854783714,53,22
472,0.6161896931884178,197,169
112,0.6160576572835101,30,106
330,0.6155673770438084,106,30
314,0.6149622676732481,97,96
103,0.6149199517325091,28,26
58,0.6147654296328775,23,66
123,0.614498903469864,32,65
66,0.6144532623207318,25,41
73,0.6143326219195795,26,20
29,0.6141515568538076,20,26
228,0.6138100979556078,65,32
125,0.6133762434551573,32,100
109,0.6133679465049562,28,174
187,0.6131960663747231,55,23
419,0.6130193262261556,174,28
247,0.6128941020998504,66,28
595,0.6122408723287729,230,213
108,0.6115028261783326,28,66
155,0.6114543838188644,41,25
317,0.6113444155891369,100,32
8,0.6102813541063619,14,20
57,0.6101055047456896,23,55
609,0.6097799425789856,232,203
324,0.609711977107479,100,199
600,0.6095311641817771,232,161
548,0.6092188047004725,207,18
540,0.6092059044782822,203,232
477,0.6091900100870049,199,100
360,0.6091400356150185,161,232
573,0.6087819759179471,213,230
467,0.6081856761657404,189,9
13,0.6077188293584967,18,207
77,0.6065827779847729,26,53
1,0.6064481517629436,9,189
197,0.6061542551222372,55,66
59,0.6060242715334747,23,228
488,0.6057177537700209,199,207
590,0.605197475429802,228,23
252,0.605066317198014,66,55
241,0.6047837447512084,66,10
84,0.6047026727023073,26,155
522,0.6044729744368247,203,18
482,0.6042302476296073,199,176
560,0.6036683804615759,207,199
172,0.6031033380266293,53,66
147,0.6029369649959542,36,107
12,0.6022883578247492,18,203
342,0.6009866123324434,155,26
469,0.6008520474996562,191,72
